,name,address,budget,genre
24,R R Coffee Crafts,東京都中央区日本橋本町４-3-14 1F,B011,G014
25,Arl Eee nakameguro,東京都目黒区青葉台１丁目１４－４　CONTRAL nakameguro 1F,B008,G002
26,R Whisky bar&cigar,東京都新宿区西新宿１-2-11,B013,G012
27,Rcafe アールカフェ 192,東京都墨田区横網１－9－2　ＮＴＴドコモ墨田ビル低層棟,B001,G014
28,R's Cafe,東京都中央区勝どき２-8-12 東京ビュック中銀B1F,B003,G014
29,R's cafe shouwanomori,東京都昭島市田中町584-14,B011,G014
30,R3 CLUB LOUNGE アールスリークラブラウンジ,東京都港区六本木７-14-23,B004,G002
31,R2 SUPPERCLUB,東京都港区六本木７-14-23 セントラム六本木1F,B008,G002
32,RT アールティー アジアンカフェ,東京都調布市小島町２-56-3 B1,B001,G009
33,R Lounge,東京都渋谷区宇田川町4-7　トウセン宇田川町ビル6F&7F,B002,G012
34,R1 TOKYO Bar&Restaurant,東京都港区六本木６-2-6　GEMS六本木1階～2階,B004,G002
35,居酒屋 愛 志村,東京都板橋区志村２‐２７‐１６,B002,G001
36,I AM Chicken アイアムチキン,東京都杉並区下高井戸２-4-2,B011,G017
37,アイアンマン 二子玉川,東京都世田谷区玉川３‐4‐5,B006,G005
38,あいう,東京都中央区日本橋浜町２-30-7,B003,G002
39,アイキッチン 西武柳沢店,東京都西東京市保谷町３-10-12鳥元ビル１F,B001,G009
40,アイキッチン 御茶ノ水店,東京都文京区湯島１-9-10 湯島ビル 1F,B002,G009
41,愛犬ヴィレッジ 東新宿店,東京都新宿区大久保１－8－8,B003,G014
42,ICON,東京都渋谷区代々木１-41-4,B002,G015
43,あい澤,東京都江東区富岡１-5-13,B004,G001
44,あいしてます,東京都中央区日本橋堀留町２-1-2,B003,G001
45,AI_SCAPE,東京都大田区羽田空港１丁目1番4号 羽田イノベーションシティ ZONE D　2階　D2-3,B011,G014
46,ice shisha lounge アイスシーシャラウンジ,東京都中野区東中野１丁目45－9　宮原ビル401,B002,G012
47,aizbar,東京都品川区上大崎２－２６－５　メグロ―ドビル２０６,B004,G002
48,ICE MOUNTAIN CAFE,東京都新宿区新宿７－２２－５　１階,B001,G014
49,相席屋 池袋東口店,東京都豊島区南池袋１－103－7 マツモトキヨシ池袋東口第1ビル4Ｆ,B003,G001
50,相席屋 上野店,東京都台東区上野４-５-５  ４５５上野ビル８F,B003,G001
51,相席屋 歌舞伎町店,東京都新宿区歌舞伎町１-6-1 シロービル10F,B002,G001
52,相席屋 銀座コリドー店,東京都中央区銀座８-2-9 ニューギンザビル　Ｂ１Ｆ,B003,G001
53,相席屋 錦糸町店,東京都墨田区江東橋３-11-3 ソシアル錦糸町ビル,B003,G001
54,相席屋 渋谷店,東京都渋谷区神南１-22-10　皆川ビル5F,B003,G001
55,相席屋 渋谷南口店,東京都渋谷区道玄坂１-6-2 渋谷ファイブビル2F,B003,G001
56,相席屋 新宿 歌舞伎町店,東京都新宿区歌舞伎町１-6-1  シロービル１０Ｆ,B003,G001
57,AISEKIYA 新宿東口店,東京都新宿区新宿３-34-11 ピースビル5F,B003,G001
58,相席屋 新宿靖国通り店,東京都新宿区新宿３-21-7 東新ビル6F,B003,G001
59,相席屋 町田店,東京都町田市原町田６-19-15 大星ビル2F,B003,G001
60,AISEKIYA アイセキヤ 渋谷センター街店,東京都渋谷区宇田川町12-3 ニュー渋谷コーポラス2階,B003,G012
61,AIZO,東京都町田市相原町1667-1 ＡＩＺＯ,B003,G006
62,i Darts Tokyo アイダーツ 東京,東京都港区六本木５‐３‐１　第二レーヌビル１階,B003,G011
63,会津の台所 あかべこ家,東京都西東京市柳沢１-1-3 照栄第2コーポ107,B002,G001
64,会津屋 お台場店,東京都港区台場１-6-1　デックス東京ビーチシーサイドモール4階,B001,G015
65,あいつん家,東京都新宿区西新宿５-8-8 メゾン・ド・新宿B1F,B002,G012
66,ID89 アイディーハチジュウキュー,東京都品川区西五反田１-32-11 オークラビル 10F,B006,G004
67,愛徳,東京都江戸川区平井３－24－21,B001,G001
68,AINA,東京都新宿区歌舞伎町１-22-3 ゴールドリッチビル 2階,B003,G001
69,あいはらや,東京都杉並区高円寺南３‐３‐３,B001,G013
70,ivy cafe&bar,東京都渋谷区代々木１丁目２３-１,B008,G014
71,アイヒェンプラッツ Zum Eichen Platz,東京都港区赤坂５－５－１１　赤坂通り50番ビル2F,B003,G002
72,iポチャ,東京都新宿区百人町１－１５－２４OSセンタービル1F,B001,G017
73,Ivorish アイボリッシュ 渋谷,東京都渋谷区宇田川町3-3 B1F,B011,G014
74,Ivorish アイボリッシュ 立川,東京都立川市泉町935-1ららぽーと立川立飛 2F,B011,G014
75,藍屋 綾瀬店,東京都足立区東綾瀬３－１－１,B001,G004
76,藍屋 王子店,東京都北区王子５－２－１４,B001,G004
77,藍屋 大井店,東京都品川区大井７－２７－８,B001,G004
78,藍屋 落合南長崎店,東京都豊島区南長崎４－５－２０ｉＴｅｒｒａｃｅ落合南長崎,B001,G004
79,藍屋 久が原店,東京都大田区久が原５－１４－１４,B001,G004
80,藍屋 国立富士見台店,東京都国立市富士見台２－３５－６,B001,G004
81,藍屋 京葉谷河内店,東京都江戸川区谷河内１－７－１７,B001,G004
82,藍屋 世田谷上野毛店,東京都世田谷区中町３－２５－１９,B001,G004
83,藍屋 世田谷八幡山店,東京都世田谷区八幡山３－３９－１０,B001,G004
84,藍屋 練馬光が丘店,東京都練馬区高松５－１２－１０,B001,G004
85,藍屋 浜田山店,東京都杉並区浜田山３－２８－１４,B001,G004
86,藍屋 羽村店,東京都羽村市五ノ神４－１２－３,B001,G004
87,藍屋 東大和店,東京都東大和市仲原３－１,B001,G004
88,藍屋 三鷹新川店,東京都三鷹市新川３－１－１７,B001,G004
89,藍屋 南砂店,東京都江東区南砂４－４－２１,B001,G004
90,藍屋 武蔵野西久保店,東京都武蔵野市西久保１－１９－９,B001,G004
91,あいらくてい,東京都新宿区高田馬場３-22-4 テサンビル1F,B011,G007
92,I Love Gyoza アキバの竜王 秋葉原総本店,東京都千代田区神田佐久間町３-３７,B002,G001
93,islands bar MOKUPUNI モクプニ,東京都中央区日本橋２-3-19八木下ビルB1F,B003,G012
94,アイランダース,東京都台東区上野２‐２‐２　２Ｆ,B002,G002
95,Island Curry stand,東京都新宿区四谷３－１３－１３,B010,G009
96,アイランドプレートランチ 築地店,東京都中央区築地７－１０－１１　アパホテル築地駅南１F,B011,G010
97,アイリスクルーズ お台場,東京都江東区青海１－５　パレットタウン桟橋,B004,G006
98,IRISH PUB Craic,東京都港区赤坂２-6-14 変なホテル東京赤坂　1階,B002,G012
99,I RISH PUB CRAIC 浜松町店,東京都港区浜松町１-24-11変なホテル東京　浜松町内1F,B002,G002
100,CELTS ケルツ IRISH PUB 上野駅前店,東京都台東区上野４丁目１０－６,B011,G001
101,CELTS ケルツ 品川港南口店,東京都港区港南２‐５‐１４　CANALE品川１Ｆ,B002,G002
102,CELTS ケルツ 新橋烏森口駅前店,東京都港区新橋３-16-5　DK新橋烏森口ビル2F,B002,G002
103,CELTS ケルツ 新橋日比谷口店,東京都港区新橋２－９－２　ミクニビル　B1,B002,G002
104,CELTS ケルツ 八重洲店,東京都中央区日本橋３－２－１７ 日本橋三丁目ビル,B002,G002
105,Irish Pub The Cluracan,東京都杉並区高円寺南４-9-6第3矢島ビル1F,B002,G002
106,シェイマスオハラ Seamus O´hara,東京都品川区小山３-24-14,B002,G002
107,IRISH PUB Peter Cole,東京都渋谷区本町３-14-1 アパホテル１F,B003,G002
108,ISLET,東京都中野区中央５-48-5,B002,G015
109,IRON KITCHEN,東京都板橋区清水町79-8,B008,G006
110,アインソフ ソア 池袋 AIN SOPH. soar,東京都豊島区東池袋３-5-7　ユニオンビル１F,B001,G014
111,AIN SOPH.GINZA アインソフ ギンザ,東京都中央区銀座４-12-1,B002,G002
112,アインソフ ジャーニー AIN SOPH.JOURNEY,東京都新宿区新宿3-8-9新宿Qビル1階,B003,G002
113,アヴァンセリアン東京,東京都江東区豊洲３－２－３　豊洲キュービックガーデン１Ｆ,B012,G006
114,Out Door Dining CLIMB クライム,東京都足立区千住桜木２-7-3,B002,G002
115,アウトバックステーキハウス 品川港南店,東京都港区港南２－１６－２　品川グランドコモンズ内　太陽生命品川ビル３Ｆ,B003,G005
116,アウトバックステーキハウス 品川高輪店,東京都港区高輪４－１０－８　京急EXイン高輪B1,B003,G005
117,アウトバックステーキハウス 渋谷店,東京都渋谷区宇田川町３４－１,B003,G005
118,アウトバックステーキハウス 六本木店,東京都港区六本木６‐１‐３　六門ビル２Ｆ,B003,G005
119,アウトバックステーキハウス 池袋店,東京都豊島区東池袋１-41-4 池袋とうきゅう７F,B003,G005
120,アウボラーダ,東京都武蔵野市吉祥寺本町１‐３２‐９　モトハシビル　Ｂ１Ｆ,B002,G010
121,あ・うん,東京都港区赤坂３－１０－６　雪華堂ビル　２Ｆ,B004,G001
122,あうん 赤坂,東京都港区赤坂４－２－３ディアシティ赤坂１０３,B008,G001
123,青,東京都渋谷区西原３－２４－１２ ,B004,G003
124,AOI GARDEN FOOD HALL アオイガーデン フードホール,東京都港区虎ノ門２-10-4 オークラ プレステージタワー4F,B003,G002
125,葵鮨本店,東京都葛飾区新小岩２‐１７‐３,B004,G004
126,蒼い空,東京都世田谷区宇奈根１-17-15,B011,G002
127,AOI NAPOLI 青いナポリ,東京都文京区小石川３‐３２‐１　２F,B008,G006
128,葵丸進,東京都台東区浅草１－４－４,B008,G004
129,アオザイ 赤坂,東京都港区赤坂５－４－１４　トレード赤坂１Ｆ,B002,G009
130,青砥 黒毛和牛焼肉 舜,東京都葛飾区青戸３-32-18 湖州ビル2F,B003,G008
131,あお乃,東京都葛飾区亀有５-28-17,B003,G006
132,台湾料理 青葉 新宿,東京都新宿区歌舞伎町１-１２-６　歌舞伎町ビルB１Ｆ,B004,G007
133,青葉 池袋サンシャイン店,東京都豊島区東池袋３－１－１　サンシャインシティアルパＢ１,B001,G013
134,SOM TUM CAFE ソムタムカフェ 田町芝浦店,東京都港区芝浦３-12-16 金生谷ビル1F,B010,G009
135,青松,東京都杉並区阿佐谷北２-13-4 ハイツセブン 1F,B003,G007
136,青森Souls,東京都江東区亀戸６‐24‐1,B004,G004
137,青森ねぶた小屋 秋葉原店,東京都千代田区外神田４-4-2 ヒューリック＆ニュー6F,B003,G001
138,青森ねぶたワールド 新橋店,東京都港区新橋３-13-4　 eatus新橋3Ｆ,B003,G001
139,青森の肉と野菜 やだらめぇ 高田馬場店,東京都豊島区高田３-10-2,B003,G001
140,あお山,東京都世田谷区南烏山５丁目12番地の7　2F,B002,G011
141,青山 浅田,東京都港区北青山２－７－１３　プラセオ青山Ｂ１Ｆ,B006,G004
142,青山 雅灯,東京都渋谷区神宮前５－５１－６　テラアシオス南青山Ｂ１Ｆ　,B005,G004
143,青山 きいろ,東京都港区北青山３－２－５　NH　青山ビル　B1F,B004,G001
144,青山 牛彩,東京都港区南青山２－１１－１１,B005,G005
145,青山 仁,東京都港区南青山３-9-1　1F,B006,G004
146,星のなる木 青山,東京都渋谷区神宮前５－５１－８　ラ・ポルト青山４Ｆ,B006,G004
147,広東料理 青山一品 青山店,東京都渋谷区渋谷２‐２‐４青山アルコープ１Ｆ,B001,G007
148,広東料理 青山一品 要町店,東京都豊島区要町１-10-1,B001,G007
149,広東料理 青山一品 中野坂上店,東京都中野区本町２-51-10　OKビル１F,B003,G007
150,青山WHISKY,東京都渋谷区神宮前５丁目50－６　サクセス青山ビル６階,B002,G012
151,ロイヤルガーデンカフェ Royal Garden Cafe 青山,東京都港区北青山２-1-19,B004,G014
152,青山餃子房 笹塚店,東京都渋谷区笹塚１－５５－１６ 京王クラウン街笹塚１Ｆ,B002,G007
153,青山餃子房 千駄木店,東京都文京区千駄木２-43-2 ,B002,G007
154,青山餃子房 浜松町店,東京都港区浜松町１-2-13 江口ビル1F,B002,G007
155,青山酒場 青山一丁目,東京都港区南青山２-２-１５ ウィン青山 1F,B002,G001
156,青山食堂,東京都渋谷区神宮前５-51-8 ラ・ポルト青山地下1階,B008,G001
157,青山鮨孝,東京都港区南青山２-28-8坂巻ビルB1,B006,G004
158,青山 鶏味座 本店,東京都港区南青山３‐１２‐４　,B003,G001
159,AOYAMA TORO 青山トロ,東京都渋谷区神宮前５－５１－８　青山ラ・ポルト　B１Ｆ,B008,G002
160,青山はしづめ,東京都港区南青山３-10-34 2階,B006,G007
161,青山フェアリーハウス,東京都渋谷区神宮前５-34-8,B014,G006
162,青山ブション アミュゼ Aoyama Bouchon amuser,東京都港区南青山５-9-8 五番館ビル2階,B005,G006
163,青山焼鳥倶楽部,東京都港区南青山５－１０－５青山ハイツＢ１,B008,G001
164,AOYUZU 恵比寿 アオユズ,東京都渋谷区恵比寿１－８－１４　大黒ビルＢ１,B003,G006
165,青柚子 二子玉川店,東京都世田谷区玉川３－１４－５ 柳小路西角,B008,G004
166,青ゆず寅 豊洲,東京都江東区豊洲３－２－２４　豊洲フォレシア１F,B008,G004
167,青ゆず寅 丸ビル店,東京都千代田区丸の内２-４-１　丸の内ビルディング６Ｆ,B004,G004
168,青蓮 天王洲スフィアタワー店,東京都品川区東品川２-2-8 スフィアタワー天王洲1F,B003,G007
169,赤いきゃべつ,東京都新宿区荒木町７-1　野崎ビル１Ｆ,B008,G011
170,赤いパスタファーム,東京都目黒区鷹番３-19-8,B001,G006
171,AGAVE アガヴェ,東京都港区六本木７-18-11 DMビルB1,B002,G012
172,あか牛精肉販売所,東京都渋谷区広尾１丁目15-2,B004,G002
173,あか牛焼肉と馬刺し　たべとも,東京都千代田区飯田橋４-7-8第2第3山商ビルIタワー1階,B008,G008
174,赤鬼 池袋,東京都豊島区南池袋２-27-15東興ビル1F,B002,G016
175,赤から 池袋サンシャイン通り店,東京都豊島区東池袋１丁目２１－１３,B002,G001
176,赤から 上野アメ横店,東京都台東区上野４‐７‐３　コムロビル４・５Ｆ ※受付は4階になります※,B002,G008
177,赤から 上野駅前店,東京都台東区上野６－８－１３　東京堂ビルB１F,B002,G001
178,赤から 北千住店,東京都足立区千住２-３９TCCビル３階,B002,G001
179,赤から 錦糸町店,東京都墨田区江東橋３-13-6　ヒューリック錦糸町駅前ビル　3F,B002,G001
180,赤から 下北沢店,東京都世田谷区北沢２-10-10　FIビル２階,B003,G001
181,赤から 新宿歌舞伎町店,東京都新宿区歌舞伎町１-21-2　伊藤ビル　2F,B003,G001
182,明太&もつ鍋 赤から 新宿東口店,東京都新宿区新宿３-26-2　4Ｆ,B002,G001
183,赤から 新宿靖国通り店はなれ,東京都新宿区歌舞伎町１-6-2 T-wingビル 3F,B002,G001
184,赤から 浅草六区店,東京都台東区浅草１-４３-10,B002,G001
185,赤から 西葛西北口店,東京都江戸川区西葛西５-1-14　第一保志ビル3F,B002,G001
186,赤から 八王子東中野店,東京都八王子市東中野２４－６,B002,G001
187,赤から 羽村店,東京都羽村市栄町１-2-38,B002,G001
188,赤から 町田南口店,東京都町田市原町田６-11-7  風月堂ビルB1F,B002,G001
189,赤から 赤坂TBS通り店,東京都港区赤坂３-１２-１０　赤坂サンビル2階,B002,G001
190,赤からソウル 恵比寿西口店,東京都渋谷区恵比寿西１-９-３　恵比寿西入船ビル３Ｆ,B002,G001
191,赤から鍋 池袋西口店,東京都豊島区西池袋１-38-1　池袋ＹＳステージビル4Ｆ,B002,G001
192,赤から 秋葉原中央通り店,東京都千代田区外神田１-13-1　Akiba1131.bldg　5F,B002,G001
193,赤から 池袋東口店,東京都豊島区南池袋１-20-11 池袋第5ビル 2F,B002,G001
194,赤から 銀座店,東京都中央区銀座３－2－15　ギンザ・グラッセ7F,B002,G001
195,赤から 渋谷宮益坂店,東京都渋谷区渋谷１－１４－８　宮益ＳＫビルＢ１Ｆ,B002,G001
196,赤から 新宿西口店,東京都新宿区西新宿１-3-1新宿サンフラワービル4F,B003,G001
197,赤から 立川北口店,東京都立川市曙町２-6-10 ナカムラビル B1,B002,G001
198,赤から 渋谷宇田川町店,東京都渋谷区宇田川町31-9ハナテイビル3F,B002,G003
199,赤から 銀座5丁目店,東京都中央区銀座５-9-11 銀座ファゼンダビルＢ1Ｆ,B002,G001
200,赤から 渋谷本店,東京都渋谷区神南１-20-16　高山ランドビルＢ1,B002,G001
201,赤から 西葛西北口店,東京都江戸川区西葛西５丁目1-14第一保志ビル3F,B003,G001
202,AKA-KUMA アカクマ,東京都新宿区西新宿７-15-17,B006,G012
203,AGATHA アガサ,東京都港区六本木４-12-7 ＲＢビル　６Ｆ,B008,G001
204,あん庵 赤坂,東京都港区赤坂３－１０－１４　AKASAKA FOUR DEER ビル 1F,B008,G001
205,赤坂 維新號 本店,東京都千代田区紀尾井町１－１１,B006,G007
206,赤坂 江戸桜,東京都港区赤坂３-11-19,B006,G001
207,オールドタイム 赤坂,東京都港区赤坂５‐１‐３７　赤坂ＳＤビル１Ｆ,B008,G012
208,赤坂 おんがね,東京都港区赤坂３‐6‐13　アニマート赤坂1F,B004,G017
209,赤坂かこい 本館,東京都港区赤坂３-12-10 赤坂サンビルB1F,B008,G001
210,風花 赤坂,東京都港区赤坂７-11-8 パームヒル赤坂1F,B003,G002
211,DESK デスク,東京都港区赤坂３-9-1 赤坂紀陽ビル2F,B003,G011
212,赤坂 鴨川,東京都港区赤坂３‐９‐１５　第二クワムラビル１F,B014,G004
213,金舌 赤坂,東京都港区赤坂３－１１－７　ソシアル赤坂１階,B005,G004
214,赤坂 ごだいご,東京都港区赤坂３－１０－４赤坂月世界ビル６Ｆ,B008,G001
215,小鉄屋 赤坂,東京都港区赤坂５-４-１４　トレード赤坂ビルＢ１Ｆ,B002,G001
216,赤坂 沙伽羅,東京都港区赤坂３-11-7ソシアル赤坂1F,B004,G004
217,赤坂 ジパング,東京都千代田区永田町２－１４－３　赤坂エクセルホテル東急１４Ｆ,B005,G004
218,赤坂 しゃぶ玄,東京都港区赤坂３‐８‐１アルトビル５Ｆ,B004,G004
219,赤坂 スペインクラブ アラ Ala,東京都港区赤坂３－７－１７　ＵＦビル１Ｆ,B004,G010
220,赤坂 炭火焼肉 新村 シンチョン,東京都港区赤坂３－11－19 B1F,B003,G008
221,赤坂 多に川,東京都港区赤坂２‐７‐５赤坂ブライトビル１F,B005,G001
222,鉄板焼き こよい 赤坂店,東京都港区赤坂２-12-12  赤坂フローラビルB1,B008,G003
223,赤坂 天空ビアガーデン&BBQ アカテン AKATEN,東京都港区赤坂３-10-1 5F,B003,G002
224,赤坂 肉割烹 京,東京都港区赤坂６-13-11KDXレジデンス赤坂1階,B006,G004
225,赤坂 花むら,東京都港区赤坂６－６－５,B005,G004
226,燻製酒場 pier69,東京都港区赤坂３－17－1　ICHIGOakasaka317ビルディング1F,B008,G002
227,赤坂 富貴貫 Bizタワー店,東京都港区赤坂５-3-1赤坂Bizタワー1F,B004,G004
228,フレンチ クレアバックス Crear Bacchus 赤坂,東京都港区赤坂２-15-9 B1,B006,G006
229,まるしげ 夢葉家 むようや,東京都港区赤坂２-14-8　山口ビル2階,B008,G001
230,もつ千,東京都港区赤坂２-14-12 高橋ビル2Ｆ,B002,G001
231,赤坂 よし田,東京都港区赤坂３‐１５‐１３　冨司林ビル２Ｆ,B005,G004
232,若狭 赤坂,東京都港区赤坂２-18-2,B004,G001
233,赤坂 和食 紬 TSUMUGI,東京都港区赤坂３－１８－７　パラッツオカリーナ ３F,B005,G004
234,赤坂 あじる亭 Annesso,東京都港区赤坂３-16-11 東海赤坂ビル1F,B008,G006
235,梓川 赤坂,東京都港区赤坂４－３－４　赤坂ＢＥＬＬビルＢ１,B008,G001
236,赤坂維新號 銀座新館,東京都中央区銀座８－２－１２　東京華僑会館ビル,B005,G007
237,ロッソ エ ビアンコ Rosso e Bianco 赤坂,東京都港区赤坂２-21-2 第1村嶋ビル 1F,B008,G006
238,赤坂一龍 別館,東京都港区赤坂２‐１３‐１７ シントミ赤坂第２ビル１Ｆ,B002,G017
239,赤坂うさぎや,東京都港区赤坂４-３-５ ,B005,G006
240,赤坂うのあん,東京都港区赤坂２－６－２２　B１０１号,B008,G001
241,赤坂かこい 新館,東京都港区赤坂３-12-10 赤坂サンビル2F,B008,G001
242,赤坂かこい 別邸 彩華,東京都港区赤坂６-11-13 赤坂鏡ビル1F,B008,G001
243,赤坂 カントリーハウス,東京都港区赤坂５‐１‐４磯村ビル２Ｆ,B004,G015
244,赤坂餃子楼,東京都港区赤坂３－15－13富司林ビル２F,B003,G007
245,レストラン赤坂クーポール 砧店,東京都世田谷区大蔵４-6-1世田谷区立総合運動場温水プール,B011,G005
246,レストラン赤坂クーポール 本店,東京都港区赤坂１-1-14 NOF溜池ビルB１,B003,G001
247,赤坂元気,東京都港区赤坂３-15-1 B1 ,B003,G001
248,個室居酒屋 開花 KAIKA,東京都港区赤坂３-19-9 オレンジボックスビル４Ｆ,B003,G007
249,赤坂ごだいご はなれ,東京都港区赤坂３-8-1 赤坂アルトビルB１F,B008,G001
250,澤乃井 赤坂,東京都港区赤坂４-2-3　ディアシティ赤坂一ツ木館203,B002,G001
251,赤坂 ざんまい,東京都港区赤坂３－８－１赤坂アルトビル6F,B004,G004
252,四川飯店 赤坂,東京都千代田区平河町２－５－５　全国旅館会館ビル５・６Ｆ,B006,G007
253,赤坂 十月,東京都港区赤坂３-10-5 赤坂クインビル6F,B008,G001
254,赤坂食堂gen,東京都港区赤坂２-13-4 第15大脇ビル1F,B004,G002
255,赤坂スクエアダイニング,東京都千代田区永田町２-１４-３赤坂エクセルホテル東急３Ｆ,B004,G002
256,赤坂鮨 ふる山,東京都港区赤坂２-18-12 ビル・グーテ赤坂1F,B006,G004
257,赤坂鮨兆,東京都港区赤坂３‐６‐１０第三セイコービル３Ｆ,B006,G004
258,赤坂 金星,東京都港区赤坂３-16-4,B008,G008
259,赤坂ソネマリ,東京都港区赤坂３-１７-8 B1F,B003,G001
260,赤坂 聳え,東京都港区赤坂３-19-2 B1,B008,G001
261,赤坂 Tiger タイガー,東京都港区赤坂３-13-6 国際天野ビル 6F,B003,G012
262,AKASAKAダイニング,東京都港区赤坂３-14-9 清水ビル 4F,B004,G002
263,赤坂時シラズ,東京都港区赤坂４-3-9 高池ビル 1F,B008,G001
264,赤坂とゝや魚新,東京都港区赤坂５‐１‐３４クウォーターハウス１F,B006,G004
265,鳥通,東京都港区赤坂２‐８‐１４　ラミアール赤坂１Ｆ,B008,G001
266,赤坂トルコ料理 ターキッシュキッチン,東京都港区赤坂２－８－１３赤坂こうゆうビル１F,B004,G010
267,赤坂七丁目カフェ,東京都港区赤坂７-5-33,B003,G012
268,赤坂ふきぬき　本店,東京都港区赤坂３-6-11,B004,G004
269,AKASAKA BAKERY SOYBA,東京都港区赤坂３－１４－１　コンチネンタル４ビル　1階,,G015
270,赤坂まーじゃん家,東京都港区赤坂２－１４－１　赤坂山王会館５F,B002,G011
271,赤坂見附個室居酒屋 馬に魚に,東京都港区赤坂３-8-1 赤坂アルトビル 3F-A,B003,G001
272,赤坂 宮川 本店,東京都港区赤坂５-4-13 ホワイト赤坂ビル1F,B003,G004
273,赤坂 やげん亭,東京都港区赤坂２－１４－２７国際新赤坂ビル東館B１,B002,G001
274,赤坂 よ志多,東京都港区赤坂２－１４－１２　高橋ビル１Ｆ,B008,G001
275,明石ニューワールド 新橋店,東京都港区新橋２-16-1 ニュー新橋ビル地下一階,B002,G001
276,赤ちょうちん　ぶらり,東京都港区赤坂３－１２－３　B1-A,B002,G001
277,赤ちり亭 渋谷センター街店,東京都渋谷区宇田川町25-5　センタービルB1F,B002,G008
278,アカツキ,東京都世田谷区太子堂４-22-12 Yビル 3階,B008,G002
279,暁 本郷,東京都文京区本郷２-30-9,B004,G001
280,暁庵,東京都大田区下丸子３‐１４‐２,B002,G004
281,暁タップス 銀座,東京都中央区銀座６-4-18マキシ・ド・ピアビル１F,B008,G002
282,暁タップス ビアロバタ 芝大門,東京都港区芝大門１丁目６－１２竹やビル１F,B004,G012
283,あかどり横丁,東京都葛飾区東金町１丁目１１－４,B002,G001
284,鶏魚串焼き 海鮮居酒屋 赤とんぼ,東京都墨田区江東橋３-１２-５　マスカットビル２Ｆ,B002,G001
285,茜坂大沼,東京都港区赤坂３-12-2　赤坂慶和ビル3F,B006,G004
286,茜ノ舞 池袋本店,東京都豊島区池袋本町２-6-2,B011,G013
287,板橋区 あかのれん,東京都板橋区板橋３‐９‐９,B002,G001
288,かんどころ,東京都北区赤羽１－２３－２　亀屋ビル4階,B003,G001
289,赤羽 トロ函 はなれ,東京都北区赤羽１ -22-4 ,B003,G001
290,赤羽 龍龍,東京都北区赤羽１-58-12,B001,G013
291,赤羽 魚一,東京都北区赤羽１-58-10,B003,G001
292,赤羽ケバブ&ビリヤニハウス,東京都北区赤羽１-16-3,B011,G001
293,赤羽スペインクラブ TERA TERA,東京都北区赤羽１-３７-１ 城北ビル１Ｆ,B008,G002
294,赤羽 せんべろ 大衆酒場 にくまれ屋 はなれ,東京都北区赤羽１-18-5,B002,G001
295,赤羽定食屋農のう,東京都北区志茂２－４７－２,B011,G004
296,赤羽 鳥一家,東京都北区赤羽１－２２－９　シルクロード内,B002,G001
297,赤羽 トロ函,東京都北区赤羽１-17-7 ,B002,G001
298,赤羽のざきや,東京都北区赤羽１-18-6　2F,B003,G001
